table_name,column_name,data_type,is_nullable
abilities,id,uuid,NO
abilities,world_id,uuid,NO
abilities,name,text,NO
abilities,aliases,ARRAY,NO
abilities,description,text,NO
abilities,embedding,USER-DEFINED,YES
abilities,created_by,uuid,YES
abilities,created_at,timestamp with time zone,NO
abilities,updated_at,timestamp with time zone,NO
abilities,ability_stats,jsonb,YES
generated_abilities,id,uuid,NO
generated_abilities,session_id,uuid,NO
generated_abilities,world_id,uuid,NO
generated_abilities,name,text,NO
generated_abilities,aliases,ARRAY,NO
generated_abilities,description,text,NO
generated_abilities,embedding,USER-DEFINED,YES
generated_abilities,state,text,YES
generated_abilities,origin_context,text,YES
generated_abilities,source_ability_id,uuid,YES
generated_abilities,created_by,uuid,YES
generated_abilities,created_at,timestamp with time zone,NO
generated_abilities,updated_at,timestamp with time zone,NO
generated_characters,id,uuid,NO
generated_characters,session_id,uuid,NO
generated_characters,world_id,uuid,NO
generated_characters,name,text,NO
generated_characters,aliases,ARRAY,NO
generated_characters,description,text,NO
generated_characters,embedding,USER-DEFINED,YES
generated_characters,state,text,YES
generated_characters,origin_context,text,YES
generated_characters,personality,text,YES
generated_characters,motivations,text,YES
generated_characters,image_url,text,YES
generated_characters,source_npc_id,uuid,YES
generated_characters,created_by,uuid,YES
generated_characters,created_at,timestamp with time zone,NO
generated_characters,updated_at,timestamp with time zone,NO
generated_items,id,uuid,NO
generated_items,session_id,uuid,NO
generated_items,world_id,uuid,NO
generated_items,name,text,NO
generated_items,aliases,ARRAY,NO
generated_items,description,text,NO
generated_items,embedding,USER-DEFINED,YES
generated_items,state,text,YES
generated_items,origin_context,text,YES
generated_items,is_unique,boolean,NO
generated_items,source_item_id,uuid,YES
generated_items,created_by,uuid,YES
generated_items,created_at,timestamp with time zone,NO
generated_items,updated_at,timestamp with time zone,NO
generated_locations,id,uuid,NO
generated_locations,session_id,uuid,NO
generated_locations,world_id,uuid,NO
generated_locations,name,text,NO
generated_locations,aliases,ARRAY,NO
generated_locations,description,text,NO
generated_locations,embedding,USER-DEFINED,YES
generated_locations,state,text,YES
generated_locations,origin_context,text,YES
generated_locations,parent_generated_location_id,uuid,YES
generated_locations,parent_location_id,uuid,YES
generated_locations,path,USER-DEFINED,NO
generated_locations,created_by,uuid,YES
generated_locations,created_at,timestamp with time zone,NO
generated_locations,updated_at,timestamp with time zone,NO
items,id,uuid,NO
items,world_id,uuid,NO
items,name,text,NO
items,aliases,ARRAY,NO
items,description,text,NO
items,embedding,USER-DEFINED,YES
items,is_unique,boolean,NO
items,created_by,uuid,YES
items,created_at,timestamp with time zone,NO
items,updated_at,timestamp with time zone,NO
items,item_stats,jsonb,YES
items,location_id,uuid,YES
items,unlock_node_id,uuid,YES
locations,id,uuid,NO
locations,world_id,uuid,NO
locations,name,text,NO
locations,aliases,ARRAY,NO
locations,description,text,NO
locations,embedding,USER-DEFINED,YES
locations,parent_location_id,uuid,YES
locations,path,USER-DEFINED,NO
locations,created_by,uuid,YES
locations,created_at,timestamp with time zone,NO
locations,updated_at,timestamp with time zone,NO
npc_abilities,id,uuid,NO
npc_abilities,npc_id,uuid,NO
npc_abilities,ability_id,uuid,NO
npc_abilities,created_at,timestamp with time zone,NO
npc_abilities,droppable,boolean,NO
npc_equipment,id,uuid,NO
npc_equipment,npc_id,uuid,NO
npc_equipment,item_id,uuid,YES
